id,text
"FUN.4","and updated Fig. 2.1 Added new requirement about exit from Fail-safe modeThe system shall implement the following operating modes: 1. Start-up Mode: The Start-up Mode initializes the system and is part of a start-up procedure to get the system ready to be used to ventilate a patient. 2. SelfTest Mode: The SelfTest Mode ensures that the system is fully functional and is part of the start- up procedure to get the system ready to be used to ventilate a new patient 3. Standby Mode: In the Standby Mode the ventila- tion is ready for ventilating a patient, ventilation is off, and ventilation parameters can be set. 4. Pressure Controlled Ventilation Mode (PCV): Pres- sure Controlled Ventilation mode is a normal op- erating mode that is used when patients have no spontaneous respiration. 5. Pressure Support Ventilation Mode (PSV): Pres- sure Support Ventilation is a normal operating mode that during which the patient initiates each breath and the ventilator supports the breath at the appropriate pressure level. 6. Fail-safe mode: the controller detects a severe con- dition that required an alarm to be raised and to bring the machine to a fail-safe mode (in valve closed and out valve open). Rationale: Pressure Controlled and Pressure Support Ventilation are the two basic modes of pressure regulated support needed for COVID-19 patients. A Start-up mode is needed to properly ensure that the system is fully func- tional before starting the ventilation of a patient. Pres- sure Controlled Ventilation is needed for patients in res- piratory failure or fully sedated. Pressure Support Venti- lation is needed for patients able to breathe on their own, in particular during the weaning process. 6 2.1 Functional Requirements"
"CONT.46","The controller cannot return from fail-safe mode to any other mode without a power cycle (turn off and then turn on the machine). 36 4.1 Start-up Mode Final State (Stop Mode): In Final State the machine is turned off."
"FUN.20","Removed “patient connected” from Fig. 2.1 1.3 October 25, 2023 Updated Fig. 2.1 3.1 4.1In PCV mode, the breathing cycle shall be defined by in- spiratory pressure Pinsp PCV relative to atmosphere, res- piratory rate (RRPCV ) and the ratio between the inspi- ratory and expiratory times (I:EPCV ). Rationale: standard parameters to define PCV Note: The time for one breathing cycle will be equal to 1/RRPCV . The expiratory time will be equal to 1/RRPCV 1+I:E . For instance, if RR is 10 cycles for minutes and I:E is 1:2, PCV the respiratory cycle will last 6 seconds, the inspiratory phase will last 2 seconds and the expiratory phase 4 seconds. 10 2.1 Functional Requirements"
"GUI.4","The transition from Start to Self Test shall occur if the FUN.4 user wants to test the machine and set the proper param- eters for a new patient. Rationale: the clinician decides to check the status of the machine sensors before starting ventilation."
"GUI.108",", GUI.109, GUI.110 1.4 November 6, 2023 Updated Fig. 3.1The transition from Ventilation to Settings shall occur if the operator wants to adjust ventilation settings. Settings Mode: During Settings mode, the operator can change the parameters of the venti- lation and of the alarms."
"AL.38.1","Controller failure 201.13.2.104"
"GUI.10","andIf the Self Test fails, the GUI is blocked with a message, FUN.7 and the user shall obtain a replacement of the unit and tag the problematic unit for a maintenance inspection."
"GUI.50.2","If the self-test fails, the self-test procedure is interrupted FUN.7 and the GUI stops."
"CONT.26",": when it detects a sud- den drop in pressure above the inhale trigger sensitivity (i.e., it yields the condition drop(PAW) > ITSPCV )) 1.5 December 13, 2023 Updated Fig. 3.1Within the trigger window during the expiratory phase, FUN.21 in the case of spontaneous breathing, the ventilator shall trigger a new breathing cycle (i.e., it goes in inspiration phase) when it detects a sudden drop in pressure above the inhale trigger sensitivity (i.e., it yields the condition drop(PAW) > ITSPCV )). Note that drop is positive if the pressure drops. Rationale: In a pressure-regulated ventilator, the intensity of pressure drops initiated by the patient is the easiest way to detect the spontaneous breathing attempt as per ventilator experts."
"GUI.111",", GUI.112, GUI.113The GUI shall be able to initialize itself with default con- figuration parameters if the controller is not ventilating."
"GUI.1.2",", GUI.1.3, GUI.5, GUI.7,Start Mode: allows the user to resume ventilation or to start the ventilation for a new patient."
"GUI.8",", GUI.9, GUI.45.1, GUI.45.2, GUI.45.3.The transition from Menu to Settings shall occur when FUN.4 the Self-test is passed if required (new patient connected), and the clinician wants to change the settings for the ven- tilation. Self Test Mode: Self test mode allows the user to perform a sequence of tests"
"GUI.6",", GUI.47 Changed requirements numberDELETED"
"GUI.49.1","− > GUI.49The GUI shall be able to start the ventilation as needed FUN.10 3.4 Self-Test Mode"
"GUI.45.5","− > GUI.46.1"
